佛手瓜,2.30,2.40,2.50,普通,斤,2021-07-06
金丝南瓜,0.50,0.60,0.70,冀鲁,斤,2021-07-06
南北瓜,0.60,0.75,0.90,桂,斤,2021-07-06
尖椒,0.80,1.10,1.40,冀晋/鲁新,斤,2021-07-06
螺丝椒,1.50,1.75,2.00,普通,斤,2021-07-06
柿子椒,1.00,1.20,1.40,\鲁新,斤,2021-07-06
线椒,1.20,1.35,1.50,\鲁琼新,斤,2021-07-06
杭椒,1.20,1.60,2.00,普通,斤,2021-07-06
小米椒,4.00,4.25,4.50,滇,斤,2021-07-06
彩椒,3.00,3.50,4.00,红\黄,斤,2021-07-06
白萝卜,0.40,0.50,0.60,\冀,斤,2021-07-06
心里美,0.70,0.85,1.00,冀泥/洗,斤,2021-07-06
卞萝卜,0.50,0.55,0.60,冀,斤,2021-07-06
青萝卜,0.70,0.80,0.90,冀\鲁新,斤,2021-07-06
胡萝卜,0.50,0.60,0.70,冀/鲁新,斤,2021-07-06
胡萝卜（洗）,0.60,0.70,0.80,冀/鲁,斤,2021-07-06
土豆,0.60,0.70,0.80,黄心,斤,2021-07-06
土豆,1.00,1.10,1.20,V7,斤,2021-07-06
黄葱头,0.70,0.80,0.90,\蒙甘,斤,2021-07-06
红葱头,1.00,1.10,1.20,老/新,斤,2021-07-06
